,event,adc
156,84,"[201.0, 202.0, 203.0, 350.0, 460.0, 453.0, 401.0, 347.0, 303.0, 273.0]"
157,84,"[200.0, 201.0, 202.0, 368.0, 486.0, 478.0, 422.0, 361.0, 313.0, 280.0]"
158,84,"[199.0, 199.0, 200.0, 565.0, 825.0, 811.0, 687.0, 555.0, 449.0, 378.0]"
159,86,"[199.0, 200.0, 204.0, 464.0, 649.0, 636.0, 547.0, 451.0, 378.0, 325.0]"
160,86,"[200.0, 202.0, 203.0, 343.0, 442.0, 434.0, 386.0, 335.0, 293.0, 267.0]"
161,87,"[199.0, 201.0, 201.0, 291.0, 354.0, 352.0, 320.0, 286.0, 262.0, 244.0]"
162,87,"[200.0, 199.0, 209.0, 692.0, 1033.0, 1011.0, 844.0, 667.0, 529.0, 435.0]"
163,87,"[202.0, 202.0, 201.0, 281.0, 335.0, 329.0, 303.0, 277.0, 254.0, 238.0]"
164,88,"[202.0, 204.0, 205.0, 383.0, 511.0, 505.0, 444.0, 379.0, 326.0, 291.0]"
165,88,"[199.0, 199.0, 200.0, 319.0, 402.0, 397.0, 355.0, 310.0, 279.0, 259.0]"
166,89,"[200.0, 203.0, 202.0, 343.0, 443.0, 438.0, 389.0, 339.0, 299.0, 270.0]"
167,89,"[201.0, 201.0, 203.0, 299.0, 368.0, 364.0, 330.0, 294.0, 268.0, 248.0]"
168,90,"[197.0, 197.0, 206.0, 786.0, 1193.0, 1166.0, 965.0, 757.0, 592.0, 480.0]"
169,90,"[198.0, 198.0, 200.0, 319.0, 404.0, 398.0, 357.0, 315.0, 279.0, 255.0]"
170,90,"[201.0, 199.0, 204.0, 563.0, 810.0, 791.0, 671.0, 541.0, 440.0, 371.0]"
171,92,"[199.0, 198.0, 199.0, 277.0, 331.0, 328.0, 301.0, 276.0, 255.0, 241.0]"
172,92,"[201.0, 201.0, 201.0, 327.0, 417.0, 414.0, 370.0, 325.0, 290.0, 269.0]"
173,93,"[200.0, 199.0, 200.0, 387.0, 516.0, 507.0, 443.0, 376.0, 323.0, 286.0]"
174,93,"[203.0, 204.0, 205.0, 263.0, 303.0, 300.0, 280.0, 258.0, 243.0, 233.0]"
175,94,"[199.0, 197.0, 201.0, 345.0, 441.0, 433.0, 384.0, 333.0, 293.0, 269.0]"
176,94,"[199.0, 201.0, 202.0, 279.0, 331.0, 328.0, 301.0, 273.0, 256.0, 240.0]"
177,95,"[201.0, 200.0, 206.0, 490.0, 685.0, 673.0, 577.0, 473.0, 390.0, 335.0]"
178,95,"[199.0, 199.0, 202.0, 402.0, 544.0, 535.0, 467.0, 394.0, 336.0, 297.0]"
179,98,"[198.0, 199.0, 204.0, 675.0, 1002.0, 982.0, 820.0, 651.0, 516.0, 424.0]"
180,98,"[200.0, 200.0, 203.0, 359.0, 470.0, 463.0, 408.0, 348.0, 304.0, 273.0]"
